,date,hour,sentiment,rank_score,sentimenttitle,sentimenttext,datetime
147,2020-12-15,0,1.0,3.1199999999999997,0.5,0.5,2020-12-15 0:00:00
148,2020-12-15,1,1.0,2.5300000000000002,0.75,1.25,2020-12-15 1:00:00
149,2020-12-15,2,0.4,2.936,0.0,0.2,2020-12-15 2:00:00
150,2020-12-15,3,0.75,3.4875,0.0,0.25,2020-12-15 3:00:00
151,2020-12-15,4,0.6666666666666666,2.5833333333333335,0.0,0.2222222222222222,2020-12-15 4:00:00
152,2020-12-15,5,1.0,2.938333333333334,0.16666666666666666,0.0,2020-12-15 5:00:00
153,2020-12-15,6,0.6666666666666666,2.3633333333333333,0.0,0.6666666666666666,2020-12-15 6:00:00
154,2020-12-15,7,0.8571428571428571,3.315714285714286,0.0,0.5714285714285714,2020-12-15 7:00:00
155,2020-12-15,9,0.8,2.504,0.4,0.4,2020-12-15 9:00:00
156,2020-12-15,10,0.6666666666666666,3.58,0.0,0.0,2020-12-15 10:00:00
157,2020-12-15,11,0.6666666666666666,2.6199999999999997,0.6666666666666666,0.3333333333333333,2020-12-15 11:00:00
158,2020-12-15,14,0.6666666666666666,2.02,0.0,0.0,2020-12-15 14:00:00
159,2020-12-15,18,2.0,2.02,2.0,2.0,2020-12-15 18:00:00
160,2020-12-15,21,1.0,1.9,0.0,0.0,2020-12-15 21:00:00
161,2020-12-15,22,0.5,2.245,0.0,0.0,2020-12-15 22:00:00
162,2020-12-15,23,1.0,2.92,0.0,1.0,2020-12-15 23:00:00
163,2020-12-16,0,0.5,2.815,0.0,0.0,2020-12-16 0:00:00
164,2020-12-16,1,0.0,3.0700000000000003,0.0,1.5,2020-12-16 1:00:00
165,2020-12-16,2,1.0,3.082,0.0,0.0,2020-12-16 2:00:00
166,2020-12-16,3,0.3333333333333333,3.22,0.3333333333333333,1.0,2020-12-16 3:00:00
167,2020-12-16,4,0.2,3.2960000000000003,0.0,0.2,2020-12-16 4:00:00
168,2020-12-16,5,0.5,2.02,0.0,0.5,2020-12-16 5:00:00
169,2020-12-16,7,0.8333333333333334,2.7283333333333335,0.16666666666666666,0.6666666666666666,2020-12-16 7:00:00
170,2020-12-16,8,1.0,2.02,0.0,0.0,2020-12-16 8:00:00
171,2020-12-16,9,0.3333333333333333,2.6199999999999997,0.0,0.0,2020-12-16 9:00:00
172,2020-12-16,11,0.0,2.02,0.0,0.0,2020-12-16 11:00:00
173,2020-12-16,13,1.0,3.53,0.0,2.0,2020-12-16 13:00:00
174,2020-12-16,14,1.0,2.02,1.0,1.0,2020-12-16 14:00:00
175,2020-12-16,15,2.0,3.82,0.0,0.0,2020-12-16 15:00:00
176,2020-12-16,16,1.25,1.9899999999999998,1.25,0.25,2020-12-16 16:00:00
177,2020-12-16,22,0.3333333333333333,2.02,0.0,0.3333333333333333,2020-12-16 22:00:00
178,2020-12-16,23,0.25,2.7775,0.25,0.5,2020-12-16 23:00:00
