high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
206.78,203.71,203.74,158866.98,32610729.56,204.82,direct,,1.079999999999984,1.0,1.0,0.0,0,0,0.0,0,0
205.12,203.54,204.82,71403.05,14593353.93,203.98,direct,,-0.8400000000000034,1.0,1.0,0.0,0,0,0.0,0,0
204.77,201.85,203.98,117549.83,23898223.38,203.92,direct,,-0.060000000000002274,1.0,1.0,0.0,0,0,0.0,0,0
205.31,201.37,203.92,144801.11,29422019.5,202.42,direct,,-1.5,1.0,1.0,0.0,0,0,0.0,0,0
206.36,202.2,202.42,125374.86,25600077.9,205.72,direct,,3.3000000000000114,1.0,1.0,0.0,0,0,2.0,0,1
206.12,203.58,205.72,50865.34,10427256.12,203.59,direct,,-2.1299999999999955,-1.0,1.0,0.0,0,0,0.0,0,0
205.09,203.3,203.59,62115.75,12675863.35,203.97,direct,,0.37999999999999545,-1.0,-1.0,0.0,0,0,0.0,0,0
210.72,203.81,203.97,228636.53,47526655.85,209.57,direct,,5.599999999999994,1.0,1.0,0.0,0,0,0.0,0,0
210.89,206.4,209.57,147765.19,30799228.11,206.66,direct,,-2.9099999999999966,1.0,1.0,0.0,0,0,0.0,0,0
207.12,204.21,206.66,142003.52,29160466.53,207.07,direct,,0.4099999999999966,1.0,1.0,0.0,0,0,0.0,0,0
210.85,206.85,207.07,196564.55,41029146.85,209.86,direct,,2.7900000000000205,1.0,1.0,0.0,0,0,0.0,0,0
212.94,209.37,209.86,180335.97,38137247.12,210.99,direct,,1.1299999999999955,1.0,1.0,0.0,0,0,0.0,0,0
211.41,209.64,210.99,97395.26,20526409.35,209.85,direct,,-1.1400000000000148,1.0,1.0,0.0,0,0,0.0,0,0
209.97,205.75,209.85,156525.35,32510481.9,206.12,direct,,-3.7299999999999898,-1.0,1.0,0.0,0,0,0.0,0,0
207.47,205.7,206.12,138552.5,28631425.9,206.12,direct,,0.0,-1.0,-1.0,0.0,0,0,0.0,0,0
208.14,205.81,206.12,158337.32,32779364.51,206.98,direct,,0.8599999999999852,-1.0,-1.0,0.0,0,0,0.0,0,0
207.29,204.63,206.98,137443.88,28340017.73,204.67,direct,,-2.3100000000000023,-1.0,-1.0,0.0,0,0,0.0,0,0
205.92,203.86,204.67,172084.25,35236243.56,204.22,direct,,-0.44999999999998863,-1.0,-1.0,0.0,0,0,0.0,0,0
