high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,EveningStar
3873.46,3811.01,3853.43,15193.79,58414499.6,3811.43,direct,,-42.0,-1.0,-1.0,0.0,0.0
3833.54,3807.48,3811.43,10565.87,40347674.91,3820.85,direct,,9.420000000000073,-1.0,-1.0,0.0,0.0
3826.57,3765.86,3820.85,21032.26,79738763.0,3776.98,direct,,-43.86999999999989,-1.0,-1.0,0.0,0.0
3787.03,3657.23,3776.98,67599.62,251217452.46,3660.55,direct,,-116.42999999999984,-1.0,-1.0,0.0,0.0
3716.5,3651.32,3660.55,42722.24,157277462.77,3715.41,direct,,54.85999999999967,-1.0,-1.0,0.0,0.0
3741.25,3694.64,3715.41,20295.0,75508690.27,3730.34,direct,,14.930000000000291,-1.0,-1.0,1.0,0.0
3840.81,3721.48,3730.34,31152.0,117789017.12,3810.41,direct,,80.06999999999971,-1.0,-1.0,0.0,0.0
3984.9,3765.07,3810.41,124308.12,487019246.47,3971.89,direct,,161.48000000000002,1.0,1.0,0.0,0.0
4095.28,3969.06,3971.89,63909.75,258518876.16,4056.89,direct,,85.0,1.0,1.0,0.0,0.0
4091.92,4042.38,4056.89,26556.24,107932783.43,4063.68,direct,,6.789999999999964,1.0,1.0,0.0,0.0
4069.67,3983.18,4063.68,16928.72,68034866.3,4001.18,direct,,-62.5,1.0,1.0,0.0,1.0
4032.75,4001.18,4001.18,14311.67,57508039.09,4020.19,direct,,19.01000000000022,1.0,1.0,0.0,0.0
4059.66,4018.41,4020.19,12852.02,51928645.25,4044.54,direct,,24.34999999999991,1.0,1.0,0.0,0.0
4052.95,4029.69,4044.54,8067.43,32620609.9,4052.21,direct,,7.670000000000073,1.0,1.0,0.0,0.0
4054.06,4028.38,4052.21,5053.03,20398239.25,4032.88,direct,,-19.329999999999927,-1.0,1.0,0.0,1.0
4039.75,4008.45,4032.88,11546.44,46387158.27,4020.36,direct,,-12.519999999999982,-1.0,-1.0,0.0,0.0
4025.97,3998.04,4020.36,7255.7,29097504.67,4010.82,direct,,-9.539999999999964,1.0,-1.0,0.0,0.0
4025.09,3985.82,4010.82,5806.71,23270869.79,3987.62,direct,,-23.200000000000273,-1.0,-1.0,0.0,0.0
4022.77,3980.82,3987.62,6335.46,25339209.7,4021.59,direct,,33.970000000000255,-1.0,-1.0,0.0,0.0
4049.26,4011.51,4021.59,10418.6,42005991.52,4023.44,direct,,1.849999999999909,-1.0,-1.0,0.0,0.0
4040.17,4016.03,4023.44,6050.42,24371287.23,4030.74,direct,,7.299999999999727,1.0,-1.0,0.0,0.0
4047.1,4029.37,4030.74,4125.91,16663314.61,4045.15,direct,,14.41000000000031,1.0,1.0,0.0,0.0
4057.13,4037.75,4045.15,7338.38,29703956.85,4051.69,direct,,6.539999999999964,1.0,1.0,0.0,0.0
4084.94,4018.04,4051.69,17322.56,70267049.92,4071.18,direct,,19.48999999999978,1.0,1.0,0.0,0.0
4079.34,4028.65,4071.18,15767.54,63966289.68,4033.93,direct,,-37.25,1.0,1.0,0.0,1.0
4095.24,4010.52,4033.93,15589.68,63260473.97,4079.03,direct,,45.100000000000364,1.0,1.0,0.0,0.0
4092.27,4050.92,4079.03,16682.02,67952279.79,4067.31,direct,,-11.720000000000255,1.0,1.0,0.0,0.0
4112.51,4043.19,4067.31,23681.99,96696071.21,4084.11,direct,,16.800000000000182,1.0,1.0,0.0,0.0
4113.2,4055.23,4084.11,27994.67,114387942.89,4080.0,direct,,-4.110000000000127,1.0,1.0,0.0,0.0
4080.66,4035.16,4080.0,13586.67,55038498.96,4036.05,direct,,-43.94999999999982,-1.0,1.0,0.0,0.0
4063.61,4013.28,4036.05,13693.07,55253135.76,4026.91,direct,,-9.140000000000327,-1.0,-1.0,0.0,0.0
4036.73,3981.36,4026.91,19633.16,78564485.85,3997.95,direct,,-28.960000000000036,-1.0,-1.0,0.0,0.0
4048.87,3995.11,3997.95,11388.3,45845033.33,4019.72,direct,,21.769999999999982,-1.0,-1.0,0.0,0.0
4037.5,4016.73,4019.72,8207.8,33057812.79,4031.97,direct,,12.25,-1.0,-1.0,1.0,0.0
4036.44,3974.08,4031.97,11345.58,45394019.59,4011.04,direct,,-20.929999999999836,-1.0,-1.0,0.0,0.0
4011.51,3953.97,4011.04,20760.39,82587235.33,3957.03,direct,,-54.00999999999976,-1.0,-1.0,0.0,0.0
3987.86,3934.25,3957.03,15193.78,60221264.38,3979.0,direct,,21.9699999999998,-1.0,-1.0,0.0,0.0
3994.8,3967.97,3979.0,9161.55,36450241.76,3983.77,direct,,4.769999999999982,-1.0,-1.0,1.0,0.0
3985.54,3953.76,3983.77,5554.05,22039464.92,3977.42,direct,,-6.349999999999909,-1.0,-1.0,0.0,0.0
3977.84,3953.88,3977.42,5317.28,21095158.3,3968.78,direct,,-8.639999999999873,-1.0,-1.0,0.0,0.0
3990.16,3967.46,3968.78,5727.26,22796145.36,3979.21,direct,,10.429999999999836,-1.0,-1.0,0.0,0.0
3981.53,3946.44,3979.21,11060.38,43772970.5,3959.59,direct,,-19.61999999999989,-1.0,-1.0,0.0,0.0
3960.52,3933.86,3959.59,5318.24,20985080.6,3936.32,direct,,-23.269999999999982,-1.0,-1.0,0.0,0.0
3936.49,3852.82,3936.32,27112.62,105500971.88,3882.94,direct,,-53.38000000000011,-1.0,-1.0,0.0,0.0
3896.57,3875.16,3882.94,9115.29,35419354.05,3890.4,direct,,7.460000000000036,-1.0,-1.0,0.0,0.0
3890.45,3856.05,3890.4,5664.79,21957821.16,3880.96,direct,,-9.440000000000055,-1.0,-1.0,0.0,0.0
3881.92,3809.65,3880.96,12019.72,46117409.6,3821.58,direct,,-59.38000000000011,-1.0,-1.0,0.0,0.0
3853.42,3813.94,3821.58,7222.9,27715054.91,3834.72,direct,,13.139999999999873,-1.0,-1.0,0.0,0.0
3851.19,3799.21,3834.72,11047.35,42243351.13,3823.71,direct,,-11.009999999999764,-1.0,-1.0,0.0,0.0
3841.2,3807.39,3823.71,11501.84,43967363.72,3818.37,direct,,-5.3400000000001455,-1.0,-1.0,0.0,0.0
3821.19,3701.56,3818.37,56886.0,212940939.71,3736.7,direct,,-81.67000000000007,-1.0,-1.0,0.0,0.0
3843.99,3705.5,3736.7,48769.28,183858336.61,3835.31,direct,,98.61000000000013,-1.0,-1.0,0.0,0.0
3945.95,3829.52,3835.31,40800.19,158831683.32,3910.44,direct,,75.13000000000011,1.0,-1.0,1.0,0.0
3910.54,3843.37,3910.44,14551.91,56337463.19,3858.9,direct,,-51.539999999999964,1.0,1.0,0.0,0.0
3911.73,3853.88,3858.9,12071.53,46789563.66,3903.9,direct,,45.0,1.0,1.0,0.0,0.0
3917.04,3877.06,3903.9,17535.81,68370173.44,3882.86,direct,,-21.039999999999964,1.0,1.0,0.0,0.0
3891.74,3843.02,3882.86,10922.8,42183318.9,3847.3,direct,,-35.559999999999945,1.0,1.0,0.0,0.0
3939.52,3835.69,3847.3,18145.59,70768873.7,3906.97,direct,,59.66999999999962,1.0,1.0,0.0,0.0
3910.67,3828.3,3906.97,22625.31,87494344.21,3898.32,direct,,-8.649999999999636,1.0,1.0,0.0,0.0
3903.15,3871.65,3898.32,8515.34,33091041.05,3876.37,direct,,-21.950000000000273,1.0,-1.0,0.0,0.0
3887.08,3831.71,3876.37,10170.94,39247504.74,3879.43,direct,,3.0599999999999454,-1.0,1.0,0.0,0.0
3884.47,3785.22,3879.43,14607.56,55809483.23,3787.12,direct,,-92.30999999999995,-1.0,-1.0,0.0,0.0
3819.85,3769.26,3787.12,7698.63,29233618.19,3791.58,direct,,4.460000000000036,-1.0,-1.0,0.0,0.0
3906.45,3791.17,3791.58,19828.09,76725687.82,3880.78,direct,,89.20000000000027,-1.0,-1.0,1.0,0.0
3890.91,3841.29,3880.78,11429.29,44196513.02,3884.57,direct,,3.7899999999999636,-1.0,-1.0,0.0,0.0
3932.59,3868.95,3884.57,17100.31,66877431.86,3906.01,direct,,21.440000000000055,1.0,1.0,0.0,0.0
3938.26,3886.65,3906.01,10730.5,42020282.55,3891.71,direct,,-14.300000000000182,1.0,1.0,0.0,0.0
3905.01,3886.93,3891.71,3948.9,15384613.44,3893.83,direct,,2.119999999999891,1.0,1.0,0.0,0.0
3918.9,3878.59,3893.83,8532.33,33311231.57,3895.44,direct,,1.6100000000001273,1.0,1.0,0.0,0.0
3942.62,3895.06,3895.44,8112.83,31774699.39,3942.44,direct,,47.0,1.0,1.0,0.0,0.0
3993.95,3924.62,3942.44,14419.35,57118047.98,3979.62,direct,,37.179999999999836,1.0,1.0,0.0,0.0
3982.93,3951.16,3979.62,8535.08,33839615.8,3959.19,direct,,-20.429999999999836,1.0,1.0,0.0,0.0
